ring_id,vertex_id,x,y
0,0,0,0
0,1,180,0
0,2,180,180
0,3,0,180
1,0,36,36
1,1,36,54
1,2,54,54
1,3,54,36
2,0,81,36
2,1,81,54
2,2,99,54
2,3,99,36
3,0,126,36
3,1,126,54
3,2,144,54
3,3,144,36
4,0,36,81
4,1,36,99
4,2,54,99
4,3,54,81
5,0,81,81
5,1,81,99
5,2,99,99
5,3,99,81
6,0,126,81
6,1,126,99
6,2,144,99
6,3,144,81
7,0,36,126
7,1,36,144
7,2,54,144
7,3,54,126
8,0,81,126
8,1,81,144
8,2,99,144
8,3,99,126
9,0,126,126
9,1,126,144
9,2,144,144
9,3,144,126
Total signed area in input: 2.948400e+04
Total signed area in output: 2.948400e+04
Total areal displacement: 0.000000e+00
