ring_id,vertex_id,x,y
0,0,0,0
0,1,100,0
0,2,100,100
0,3,0,100
1,0,4,6
1,1,6,6
1,2,5,2
2,0,4,16
2,1,6,16
2,2,5,12
3,0,4,26
3,1,6,26
3,2,5,22
4,0,4,36
4,1,6,36
4,2,5,32
5,0,4,46
5,1,6,46
5,2,5,42
6,0,4,56
6,1,6,56
6,2,5,52
7,0,4,64
7,1,4,66
7,2,6,66
7,3,6,64
8,0,4,74
8,1,4,76
8,2,6,76
8,3,6,74
9,0,4,84
9,1,4,86
9,2,6,86
9,3,6,84
10,0,4,94
10,1,4,96
10,2,6,96
10,3,6,94
11,0,14,6
11,1,16,6
11,2,15,2
12,0,14,16
12,1,16,16
12,2,15,12
13,0,14,26
13,1,16,26
13,2,15,22
14,0,14,36
14,1,16,36
14,2,15,32
15,0,14,46
15,1,16,46
15,2,15,42
16,0,14,56
16,1,16,56
16,2,15,52
17,0,14,64
17,1,14,66
17,2,16,66
17,3,16,64
18,0,14,74
18,1,14,76
18,2,16,76
18,3,16,74
19,0,14,84
19,1,14,86
19,2,16,86
19,3,16,84
20,0,14,94
20,1,14,96
20,2,16,96
20,3,16,94
21,0,24,6
21,1,26,6
21,2,25,2
22,0,24,16
22,1,26,16
22,2,25,12
23,0,24,26
23,1,26,26
23,2,25,22
24,0,24,36
24,1,26,36
24,2,25,32
25,0,24,46
25,1,26,46
25,2,25,42
26,0,24,56
26,1,26,56
26,2,25,52
27,0,24,64
27,1,24,66
27,2,26,66
27,3,26,64
28,0,24,74
28,1,24,76
28,2,26,76
28,3,26,74
29,0,24,84
29,1,24,86
29,2,26,86
29,3,26,84
30,0,24,94
30,1,24,96
30,2,26,96
30,3,26,94
31,0,34,6
31,1,36,6
31,2,35,2
32,0,34,16
32,1,36,16
32,2,35,12
33,0,34,26
33,1,36,26
33,2,35,22
34,0,34,36
34,1,36,36
34,2,35,32
35,0,34,46
35,1,36,46
35,2,35,42
36,0,34,56
36,1,36,56
36,2,35,52
37,0,34,64
37,1,34,66
37,2,36,66
37,3,36,64
38,0,34,74
38,1,34,76
38,2,36,76
38,3,36,74
39,0,34,84
39,1,34,86
39,2,36,86
39,3,36,84
40,0,34,94
40,1,34,96
40,2,36,96
40,3,36,94
41,0,44,6
41,1,46,6
41,2,45,2
42,0,44,16
42,1,46,16
42,2,45,12
43,0,44,26
43,1,46,26
43,2,45,22
44,0,44,36
44,1,46,36
44,2,45,32
45,0,44,46
45,1,46,46
45,2,45,42
46,0,44,54
46,1,44,56
46,2,46,56
46,3,46,54
47,0,44,64
47,1,44,66
47,2,46,66
47,3,46,64
48,0,44,74
48,1,44,76
48,2,46,76
48,3,46,74
49,0,44,84
49,1,44,86
49,2,46,86
49,3,46,84
50,0,44,94
50,1,44,96
50,2,46,96
50,3,46,94
51,0,54,6
51,1,56,6
51,2,55,2
52,0,54,16
52,1,56,16
52,2,55,12
53,0,54,26
53,1,56,26
53,2,55,22
54,0,54,36
54,1,56,36
54,2,55,32
55,0,54,46
55,1,56,46
55,2,55,42
56,0,54,54
56,1,54,56
56,2,56,56
56,3,56,54
57,0,54,64
57,1,54,66
57,2,56,66
57,3,56,64
58,0,54,74
58,1,54,76
58,2,56,76
58,3,56,74
59,0,54,84
59,1,54,86
59,2,56,86
59,3,56,84
60,0,54,94
60,1,54,96
60,2,56,96
60,3,56,94
61,0,64,6
61,1,66,6
61,2,65,2
62,0,64,16
62,1,66,16
62,2,65,12
63,0,64,26
63,1,66,26
63,2,65,22
64,0,64,36
64,1,66,36
64,2,65,32
65,0,64,46
65,1,66,46
65,2,65,42
66,0,64,54
66,1,64,56
66,2,66,56
66,3,66,54
67,0,64,64
67,1,64,66
67,2,66,66
67,3,66,64
68,0,64,74
68,1,64,76
68,2,66,76
68,3,66,74
69,0,64,84
69,1,64,86
69,2,66,86
69,3,66,84
70,0,64,94
70,1,64,96
70,2,66,96
70,3,66,94
71,0,74,6
71,1,76,6
71,2,75,2
72,0,74,16
72,1,76,16
72,2,75,12
73,0,74,26
73,1,76,26
73,2,75,22
74,0,74,36
74,1,76,36
74,2,75,32
75,0,74,46
75,1,76,46
75,2,75,42
76,0,74,54
76,1,74,56
76,2,76,56
76,3,76,54
77,0,74,64
77,1,74,66
77,2,76,66
77,3,76,64
78,0,74,74
78,1,74,76
78,2,76,76
78,3,76,74
79,0,74,84
79,1,74,86
79,2,76,86
79,3,76,84
80,0,74,94
80,1,74,96
80,2,76,96
80,3,76,94
81,0,84,6
81,1,86,6
81,2,85,2
82,0,84,16
82,1,86,16
82,2,85,12
83,0,84,26
83,1,86,26
83,2,85,22
84,0,84,36
84,1,86,36
84,2,85,32
85,0,84,46
85,1,86,46
85,2,85,42
86,0,84,54
86,1,84,56
86,2,86,56
86,3,86,54
87,0,84,64
87,1,84,66
87,2,86,66
87,3,86,64
88,0,84,74
88,1,84,76
88,2,86,76
88,3,86,74
89,0,84,84
89,1,84,86
89,2,86,86
89,3,86,84
90,0,84,94
90,1,84,96
90,2,86,96
90,3,86,94
91,0,94,6
91,1,96,6
91,2,95,2
92,0,94,16
92,1,96,16
92,2,95,12
93,0,94,26
93,1,96,26
93,2,95,22
94,0,94,36
94,1,96,36
94,2,95,32
95,0,94,46
95,1,96,46
95,2,95,42
96,0,94,54
96,1,94,56
96,2,96,56
96,3,96,54
97,0,94,64
97,1,94,66
97,2,96,66
97,3,96,64
98,0,94,74
98,1,94,76
98,2,96,76
98,3,96,74
99,0,94,84
99,1,94,86
99,2,96,86
99,3,96,84
100,0,94,94
100,1,94,96
