ring_id,vertex_id,x,y
0,0,10,10
0,1,-7.105427358e-15,10
0,2,0,3.552713679e-15
0,3,10,-7.888609052e-31
1,0,0.199,9.999
1,1,0.397,9.999
1,2,0.595,9.999
1,3,0.793,9.999
1,4,0.991,9.999
1,5,1.189,9.999
1,6,1.387,9.999
1,7,1.585,9.999
1,8,1.783,9.999
1,9,1.981,9.999
1,10,2.179,9.999
1,11,2.377,9.999
1,12,2.575,9.999
1,13,2.773,9.999
1,14,2.971,9.999
1,15,3.169,9.999
1,16,3.367,9.999
1,17,3.565,9.999
1,18,3.763,9.999
1,19,3.961,9.999
1,20,4.159,9.999
1,21,4.357,9.999
1,22,4.555,9.999
1,23,4.753,9.999
1,24,4.951,9.999
1,25,5.149,9.999
1,26,5.347,9.999
1,27,5.545,9.999
1,28,5.743,9.999
1,29,5.941,9.999
1,30,6.139,9.999
1,31,6.337,9.999
1,32,6.535,9.999
1,33,6.733,9.999
1,34,6.931,9.999
1,35,7.129,9.999
1,36,7.327,9.999
1,37,7.525,9.999
1,38,7.723,9.999
1,39,7.921,9.999
1,40,8.119,9.999
1,41,8.317,9.999
1,42,8.515,9.999
1,43,8.713,9.999
1,44,8.911,9.999
1,45,9.109,9.999
1,46,9.307,9.999
1,47,9.505,9.999
1,48,9.703,9.999
1,49,9.999,9.999
1,50,9.999,9.801
1,51,9.999,9.603
1,52,9.999,9.405
1,53,9.999,9.207
1,54,9.999,9.009
1,55,9.999,8.811
1,56,9.999,8.613
1,57,9.999,8.415
1,58,9.999,8.217
1,59,9.999,8.019
1,60,9.999,7.821
1,61,9.999,7.623
1,62,9.999,7.425
1,63,9.999,7.227
1,64,9.999,7.029
1,65,9.999,6.831
1,66,9.999,6.633
1,67,9.999,6.435
1,68,9.999,6.237
1,69,9.999,6.039
1,70,9.999,5.841
1,71,9.999,5.643
1,72,9.999,5.445
1,73,9.999,5.247
1,74,9.999,5.049
1,75,9.999,4.851
1,76,9.999,4.653
1,77,9.999,4.455
1,78,9.999,4.257
1,79,9.999,4.059
1,80,9.999,3.861
1,81,9.999,3.663
1,82,9.999,3.465
1,83,9.999,3.267
1,84,9.999,3.069
1,85,9.999,2.871
1,86,9.999,2.673
1,87,9.999,2.475
1,88,9.999,2.277
1,89,9.999,2.079
1,90,9.999,1.881
1,91,9.999,1.683
1,92,9.999,1.485
1,93,9.999,1.287
1,94,9.999,1.089
1,95,9.999,0.891
1,96,9.999,0.693
1,97,9.999,0.495
1,98,9.999,0.297
1,99,9.999,0.001
1,100,9.801,0.001
1,101,9.603,0.001
1,102,9.405,0.001
1,103,9.207,0.001
1,104,9.009,0.001
1,105,8.811,0.001
1,106,8.613,0.001
1,107,8.415,0.001
1,108,8.217,0.001
1,109,8.019,0.001
1,110,7.821,0.001
1,111,7.623,0.001
1,112,7.425,0.001
1,113,7.227,0.001
1,114,7.029,0.001
1,115,6.831,0.001
1,116,6.633,0.001
1,117,6.435,0.001
1,118,6.237,0.001
1,119,6.039,0.001
1,120,5.841,0.001
1,121,5.643,0.001
1,122,5.445,0.001
1,123,5.247,0.001
1,124,5.049,0.001
1,125,4.851,0.001
1,126,4.653,0.001
1,127,4.455,0.001
1,128,4.257,0.001
1,129,4.059,0.001
1,130,3.861,0.001
1,131,3.663,0.001
1,132,3.465,0.001
1,133,3.267,0.001
1,134,3.069,0.001
1,135,2.871,0.001
1,136,2.673,0.001
1,137,2.475,0.001
1,138,2.277,0.001
1,139,2.079,0.001
1,140,1.881,0.001
1,141,1.683,0.001
1,142,1.485,0.001
1,143,1.287,0.001
1,144,1.089,0.001
1,145,0.891,0.001
1,146,0.693,0.001
1,147,0.495,0.001
1,148,0.297,0.001
1,149,0.001,0.001
1,150,0.001,9.999
Target vertices: 50
Total signed area in input: 3.999600e-02
Total signed area in output: 3.999600e-02
Total areal displacement: 2.115082e-14
Running time: 10.98 ms
Peak memory: 4.77 MB
