ring_id,vertex_id,x,y
0,0,-390,-140
0,1,-258.6666667,-314
0,2,-170,-200
0,3,-84.28571429,-142.8571429
0,4,-50,-260
0,5,-110,-220
0,6,-123,-259
0,7,110,-360
0,8,196.5275142,-325.3889943
0,9,293.0769231,-124.6153846
0,10,317.2964698,71.91167073
0,11,525.2289601,327.4060883
0,12,50,40
0,13,65.38461538,173.8461538
0,14,224.1701871,256.2613156
0,15,10,360
0,16,-392.7823729,-29.4779661
1,0,-210,-40
1,1,-210,-90
1,2,-50,-20
1,3,-170.3921569,-151.7647059
1,4,-290,-80
1,5,-3.684210526,233.1578947
2,0,110,-260
2,1,32.85714286,-157.1428571
2,2,170,-60
2,3,281.1111111,77.77777778
2,4,310,20
2,5,200,-80
Total signed area in input: 2.840000e+05
Total signed area in output: 2.840000e+05
Total areal displacement: 1.740857e+05
